title,episodes,view[M],subscribe[M],grade,likes[M],released_year,genre_Comedy,genre_Drama,genre_Fantasy,genre_Heartwarming,genre_Historical,genre_Horror,genre_Informative,genre_Mystery,genre_Romance,genre_Sci-fi,genre_Slice of life,genre_Sports,genre_Superhero,genre_Supernatural,genre_Thriller
A Bittersweet Life,0.11436740528949249,0.00643243740574359,0.012294496068620443,0.8612334801762116,0.007495884269151283,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gepetto,0.11436740528949249,0.014532988243200538,0.02315939957112223,0.9625550660792954,0.012364706294441136,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SIDEKICKS,0.09363831308077199,0.018233239860310498,0.028877769835596853,0.876651982378855,0.013117797471014747,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Flow,0.007147962830593281,0.06483640887580355,0.10107219442458899,0.9559471365638768,0.05075484255140284,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FAMILY MAN,0.029306647605432452,0.0024321653872463327,0.0045746962115796996,0.9493392070484585,0.0022592735297208306,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I Don't Want This Kind of Hero,0.007147962830593281,0.0395346883588084,0.05146533238027162,0.9537444933920707,0.054257592209884756,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10th Dimension Boys,0.08434596140100072,0.028133913106091212,0.012580414581844175,0.8656387665198237,0.014098567375389682,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For the Sake of Sita,0.009292351679771266,0.008732593816379515,0.035596854896354536,0.9074889867841409,0.0058671056779571965,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DEAD DAYS,0.008577555396711938,0.015233035846437558,0.030164403145103644,0.9383259911894273,0.010000350274965847,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Cliff,0.0007147962830593281,0.0021321449858590384,0.009864188706218727,0.8612334801762116,0.0018914848155802304,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HIVE,0.01143674052894925,0.06623650408227759,0.06476054324517513,0.9361233480176212,0.04900346772216189,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Noblesse,0.035025017869907075,0.4241608429373197,0.2566118656182988,0.9603524229074889,0.3572454376685698,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hellper,0.1343817012151537,0.02303356628250721,0.02473195139385275,0.9537444933920707,0.01923009562506568,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Library Ghost,0.05289492494639028,0.007532512210830336,0.009292351679771266,0.7400881057268722,0.004641143297488528,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trump,0.25518227305218016,0.026333790697767444,0.049606862044317364,0.909691629955947,0.029738344600511397,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Duty After School,0.007147962830593281,0.006032410203893864,0.017441029306647603,0.9383259911894273,0.007653508003782969,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cheese in the Trap,0.013581129378127233,0.15264237968181835,0.15654038598999287,0.9471365638766525,0.159340081964342,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kubera,0.370264474624732,0.050035402407363705,0.033166547533952824,0.9449339207048459,0.06301446635608952,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Stories of Those Around Me,0.04217298070050036,0.01673313785337403,0.035025017869907075,0.9361233480176212,0.015412098497320396,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
THE GIRL FROM CLASS,0.01929949964260186,0.006632451006668453,0.015868477483917082,0.892070484581498,0.006147325650635748,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kids Are All Right,0.039313795568263046,0.00573238980250657,0.012151536812008578,0.9559471365638768,0.006795334337454902,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
About Death,0.003573981415296641,0.006132417004356296,0.018441744102930663,0.9735682819383262,0.0064976006164839395,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Distant Sky,0.0814867762687634,0.021833484676958028,0.05546819156540386,0.9185022026431722,0.024484220112788536,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Winter Woods,0.012151536812008578,0.06973674209846269,0.10507505360972123,0.9691629955947141,0.06476584118533048,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
God of Bath,0.005003573981415297,0.005432369401119276,0.016726233023588277,0.9030837004405288,0.005114014501383585,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Vault of Horror: A Collection of Nightmares,0.015725518227305217,0.00843257341499222,0.030593280914939243,0.777533039647577,0.0053416932291849096,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Sound of Your Heart,0.3759828448892066,0.03013404911533984,0.019728377412437454,0.9140969162995596,0.03849521874671617,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORANGE MARMALADE,0.005003573981415297,0.12664061156158618,0.1422444603288063,0.9383259911894273,0.08578233913622194,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tales of the Unusual,0.2566118656182988,0.14754203285823436,0.10864903502501787,0.9339207048458151,0.15758870713510104,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Girls of the Wild's,0.010007147962830594,0.17064360376505602,0.12008577555396711,0.9162995594713661,0.12781533503800482,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magical 12th Graders,0.10150107219442459,0.011532784229327594,0.02115796997855611,0.8634361233480177,0.0099127815335038,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Salty Studio,0.04646175839885633,0.021233443874183442,0.045746962115797,0.9427312775330399,0.01923009562506568,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Midnight Rhapsody : Season 2,0.057183702644746245,0.002032138185396607,0.0020014295925661185,0.7555066079295156,0.0017338610809485447,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DEEP,0.003573981415296641,0.004932335398807119,0.016726233023588277,0.8193832599118944,0.003747942134575641,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aura from Another Planet,0.07076483202287348,0.004632314997419824,0.006576125804145818,0.8436123348017621,0.004728712038950576,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Normal: Class 8,0.2337383845604003,0.04073476996435758,0.03259471050750536,0.9052863436123348,0.04900346772216189,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Magician,0.37455325232308795,0.039334674757883534,0.026304503216583272,0.9405286343612338,0.04199796840519807,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Midnight Rhapsody,0.027162258756254467,0.0027321857886336265,0.0031451036454610438,0.823788546255507,0.0020315948019195063,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Guardians of the Video Game,0.18942101501072195,0.006232423804818727,0.007576840600428878,0.8193832599118944,0.00805632421450839,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Subtle Disaster,0.031451036454610434,0.0033322265914082156,0.006147248034310222,0.8788546255506611,0.003275070930680584,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Sound of Magic: Annarasumanara,0.005003573981415297,0.012132825032102182,0.04203002144388849,0.9537444933920707,0.014116081123682091,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jingle Jungle,0.07147962830593281,0.0008540580759491645,0.0011436740528949249,0.7488986784140972,0.000840659918035658,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
unTouchable,0.010721944245889922,0.1715436649692179,0.185132237312366,0.9427312775330399,0.10504746225787243,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tower of God,0.3817012151536812,0.9784985379005772,0.4424588992137241,0.9801762114537445,0.8633927633192054,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DICE,0.01143674052894925,0.1985455010940744,0.185132237312366,0.8546255506607929,0.18035657991523346,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UnderPrin,0.23230879199428164,0.062136225263317905,0.08434596140100072,0.8502202643171808,0.04725209289292094,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
