,webtoon_id,title,genre,thumbnail,summary,episodes,Created by,view[M],subscribe[M],grade,released_date,likes[M],released_year
506,294,A Bittersweet Life,Slice of life,https://webtoon-phinf.pstatic.net/20140922_203/1411355185282WnBIU_PNG/PCmain_thumb.png,"A collection of sweet stories about couples and singles, office workers and unemployed people. 
But be warned: there’s more than a touch of bitterness here.",161,Donggeon Lee,6.5,0.091,9.32,"Sep 27, 2014",0.43,2014
193,81,Gepetto,Sci-fi,https://webtoon-phinf.pstatic.net/20140915_37/1410758652860WzjkU_PNG/22_ECA09CED8E98ED86A0.png,"A hundred years ago, the genius inventor behind androids, Professor Gepetto, left behind a mysterious inheritance. After the war between humans and androids has ravaged the planet, androids start to break down and run out of time, while humans are struggling to survive in the lifeless wasteland that is Earth. A single blue-haired android left behind in the Professor's estate may be the key to solving the crises as decades-old plans are finally set into motion.",161,Jewon Yeon,14.6,0.167,9.78,"Jun 30, 2014",0.708,2014
568,92,SIDEKICKS,Superhero,https://webtoon-phinf.pstatic.net/20140915_215/1410758706391Q96gN_PNG/24_EC82ACEC9DB4EB939CED82A5.png,The story of the sidekick's journey to becoming a true hero!,132,IRON Shin,18.3,0.207,9.39,"Jun 30, 2014",0.751,2014
387,101,Flow,Fantasy,https://webtoon-phinf.pstatic.net/20150116_20/1421399927345XPtP5_PNG/EC9E91ED9288EC8381EC84B8_pc_img.png,A fantasy comic about a boy's destiny that starts to change as he receives a gift from his guardian god.,11,Honey B,64.9,0.712,9.75,"Jun 30, 2014",2.9,2014
185,85,FAMILY MAN,Drama,https://webtoon-phinf.pstatic.net/20140915_69/1410758481403GiYjC_PNG/34_ED8CA8EBB080EBA6ACEBA7A8.png,"Gang-ho is a laborer at the local factory, sleeping just 3 hours a day and working like a horse. But when his face is burned in an accident at work, he's left unemployed. Scared of his daughter's reaction to his burns, Gang-ho decides to transform into the superhero, Gugu-Man!",42,Pillwon Jung,2.5,0.037,9.72,"Jun 30, 2014",0.131,2014
496,98,I Don't Want This Kind of Hero,Superhero,https://webtoon-phinf.pstatic.net/20140915_140/1410758438519Xoexz_PNG/33_EC9DB4EB9FB0EC9881EC9B85EC9D80EC8BABEC96B4.png,"Naga, a high school student with psychic powers, gets recruited into the crime-fighting organization SPOON. He and his teammates Hyena and Sasa work together to save the world. Can they defeat KNIFE and find world peace?",11,samchon,39.6,0.365,9.74,"Jun 30, 2014",3.1,2014
479,71,10th Dimension Boys,Comedy,https://webtoon-phinf.pstatic.net/20140915_8/1410758613740umXXP_PNG/37_EC868CEB8584EB93A4EC9D80EBACB4EC9787EC9D84ED9598EAB.png,"In another dimension, anything can happen in your daily life. Absurdly funny, the boys from the 10th dimension are up to no good again.",119,Cutbu,28.2,0.093,9.34,"Jun 30, 2014",0.807,2014
371,349,For the Sake of Sita,Romance,https://webtoon-phinf.pstatic.net/20141124_238/1416791890829vK7bQ_PNG/EC9E91ED9288EC8381EC84B8_pc_ECBA90EBA6ADED84B0.png,"A medical student passionately falls in love with a fallen goddess during his volunteer abroad in Nepal, and he desperately tries to fight off destiny to save his love.",14,Haga,8.8,0.254,9.53,"Nov 24, 2014",0.337,2014
711,293,DEAD DAYS,Horror,https://webtoon-phinf.pstatic.net/20140922_152/1411354341511o7548_PNG/EB8DB0EB939CEB8DB0EC9DB4ECA688_pc_img.png,"Beginning on the 4th day after a zombie virus broke out, this is a story about the will to live, human instincts and our selfish desires. A thrilling tale about the survivors of a zombie apocalypse.",13,DEY,15.3,0.216,9.67,"Sep 25, 2014",0.573,2014
712,80,The Cliff,Thriller,https://webtoon-phinf.pstatic.net/20140915_177/1410758523302jBmYA_PNG/35_ECA088EBB2BDEAB780.png,"Tensions rise as two men wait for someone to save their lives after falling and getting stranded on the cliffside of a dangerous hiking trail. When days pass with no indication of help, the cliff becomes a stage for confrontation, violence, and madness.",2,Sungdae Oh,2.2,0.074,9.32,"Jun 30, 2014",0.11,2014
